City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Castanos,MX,26.7833,-101.4167,57.34,36,0,6.91,clear sky
294,Panguna,PG,-6.3164,155.4848,69.06,97,84,2.33,broken clouds
295,Aras,ES,42.5617,-2.356,52.75,87,0,1.14,clear sky
296,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,4.61,overcast clouds
297,Olafsvik,IS,64.8945,-23.7142,49.06,75,100,31.41,overcast clouds
298,Sovetskiy,RU,61.3614,63.5842,10.6,94,100,8.95,overcast clouds
299,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,59,0,8.05,clear sky
300,Margate,GB,51.3813,1.3862,55.31,88,73,1.99,broken clouds
301,Winnemucca,US,40.973,-117.7357,35.65,60,0,8.05,clear sky
302,Englewood,US,39.6478,-104.9878,54.82,17,75,8.05,broken clouds
303,Coromandel,BR,-18.4733,-47.2003,83.61,41,94,6.85,overcast clouds
304,Mehamn,NO,71.0357,27.8492,35.55,80,75,8.05,light rain
305,Cherskiy,RU,68.75,161.3,-17.19,92,100,3.96,overcast clouds
306,Kahului,US,20.8947,-156.47,80.62,74,40,8.05,light rain
307,Santa Ines,BR,-3.6667,-45.38,85.55,65,90,2.24,overcast clouds
308,Ratnagiri,IN,16.9833,73.3,77.32,59,5,6.82,clear sky
309,Chumikan,RU,54.7183,135.315,14.18,84,10,19.86,clear sky
310,Granollers,ES,41.608,2.2877,64.06,78,75,3.44,broken clouds
311,Sisimiut,GL,66.9395,-53.6735,20.32,81,96,7.72,overcast clouds
312,Rawson,AR,-43.3002,-65.1023,72.48,35,99,12.82,overcast clouds
313,Constanza,DE,47.6603,9.1758,43.23,92,6,1.99,clear sky
314,Bad Durkheim,DE,49.4686,8.1664,44.78,71,0,2.8,clear sky
315,Koslan,RU,63.4564,48.8989,19.33,85,100,13.94,overcast clouds
316,Awjilah,LY,29.1081,21.2869,66.6,40,38,7.7,scattered clouds
317,Norman Wells,CA,65.282,-126.8329,10.44,85,20,3.44,few clouds
318,Drovyanaya,RU,51.5833,113.0333,4.51,97,26,2.51,scattered clouds
319,San Patricio,US,28.017,-97.5169,61.93,52,29,8.86,scattered clouds
320,Port Macquarie,AU,-31.4333,152.9167,67.89,89,100,13.73,overcast clouds
321,Ust-Nera,RU,64.5667,143.2,-9.51,99,100,3.09,light snow
322,Rio Cuarto,AR,-33.1307,-64.3499,71.37,43,75,18.41,broken clouds
323,Ambon,ID,-3.6954,128.1814,77.23,15,20,4.61,few clouds
324,Gizo,SB,-8.103,156.8419,81.79,78,100,8.93,light rain
325,Mareeba,AU,-17.0,145.4333,68.72,91,20,1.57,few clouds
